# DFT Ca²⁺/Ln³⁺ discriminator — Ln-class hits (ΔΔE ≥ +5 kcal/mol), enriched with spicy_lams Sharur DB annotations
rank	stem	source	iptm	n_atoms	ddE_kcal	class	spicy_class	pfam	ko	novel	length_aa	bin_id	gene_id	fp_note	cif_path	workspace_path
307	NZ_BPQD01000033_1_15_iptm0_955_s0	spicylams	0.955		+6.14	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	391	GCF_022179065.1_ASM2217906v1_genomic	NZ_BPQD01000033.1_15			
308	NZ_LFJB01000074_1_16_iptm0_971_s0	spicylams	0.971		+6.10	Ln-preferring	-	-	-	-	-	-	-			
309	03_Euk_a0a2j6pxr2_domain1chaina-pqq-la_model	unknown	-		+6.10	Ln-preferring	-	-	-	-	-	-	-			
310	marco_akiy_44	vault_panel	-		+6.00	Ln-preferring	-	-	-	-	-	-	-			
311	NZ_JAEMSD010000177_1_9_iptm0_979_s0	spicylams	0.979		+5.98	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_016462955.1_ASM1646295v1_genomic	NZ_JAEMSD010000177.1_9			
312	A0A177LXK6_methylomonas	colin_extras	-		+5.97	Ln-preferring	-	-	-	-	-	-	-			
313	NZ_AKIY01000241_1_44_iptm0_972_s0	spicylams	0.972		+5.96	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_000282615.1_Bradyrhizobium.strYR681_v1.0_genomic	NZ_AKIY01000241.1_44			
314	NZ_LGTB01000020_1_120_iptm0_973_s0	spicylams	0.973		+5.83	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_001238275.1_ASM123827v1_genomic	NZ_LGTB01000020.1_120			
315	NZ_LFIP02000003_1_591_iptm0_970_s0	spicylams	0.970		+5.80	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_001189235.2_ASM118923v2_genomic	NZ_LFIP02000003.1_591			
316	NZ_JACOFQ010000002_1_208_iptm0_972_s0	spicylams	0.972		+5.79	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_019455395.1_ASM1945539v1_genomic	NZ_JACOFQ010000002.1_208			
317	A0A0X3X434_actinobacteriota	colin_extras	-		+5.76	Ln-preferring	-	-	-	-	-	-	-			
318	NZ_JAGKJJ010000005_1_245_iptm0_968_s0	spicylams	0.968		+5.73	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_020329505.1_ASM2032950v1_genomic	NZ_JAGKJJ010000005.1_245			
319	fnwz_175_k05358	unknown	-		+5.71	Ln-preferring	-	-	-	-	-	-	-			
320	NZ_JAFCKH010000001_1_764_iptm0_973_s0	spicylams	0.973		+5.70	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_018130505.1_ASM1813050v1_genomic	NZ_JAFCKH010000001.1_764			
321	NZ_AXAB01000036_1_46_iptm0_972_s0	spicylams	0.972		+5.69	Ln-preferring	small_unannotated_candidate_marco	-	-	1	114	GCF_000472645.1_ASM47264v1_genomic	NZ_AXAB01000036.1_46			
322	03_Euk_d8qqu8_domain1chaina-pqq-la_model	unknown	-		+5.66	Ln-preferring	-	-	-	-	-	-	-			
323	NZ_SPQU01000007_1_114_iptm0_972_s0	spicylams	0.972		+5.65	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_004571045.1_ASM457104v1_genomic	NZ_SPQU01000007.1_114			
324	NZ_VSSS01000011_1_43_iptm0_972_s0	spicylams	0.972		+5.65	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_008123425.1_ASM812342v1_genomic	NZ_VSSS01000011.1_43			
325	NZ_CP041656_2_2072_iptm0_973_s0	spicylams	0.973		+5.64	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_007290395.2_ASM729039v2_genomic	NZ_CP041656.2_2072			
326	NZ_JAFCKT010000017_1_34_iptm0_973_s0	spicylams	0.973		+5.61	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_018129985.1_ASM1812998v1_genomic	NZ_JAFCKT010000017.1_34			
327	marco_NZ_CP019948_1_943_BradyrhizUnnamed	vault_panel	-		+5.59	Ln-preferring	-	-	-	-	-	-	-			
328	NZ_JAIRDQ010000001_1_955_iptm0_972_s0	spicylams	0.972		+5.59	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_021458635.1_ASM2145863v1_genomic	NZ_JAIRDQ010000001.1_955			
329	A0A840IH94_conexibacter	colin_extras	-		+5.58	Ln-preferring	-	-	-	-	-	-	-			
330	NZ_FNWZ01000001_1_175_iptm0_986_rank0	unknown	-		+5.57	Ln-preferring	-	-	-	-	-	-	-			
331	NZ_AKIY01000241_1_48_iptm0_968_s0	spicylams	0.968		+5.46	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_000282615.1_Bradyrhizobium.strYR681_v1.0_genomic	NZ_AKIY01000241.1_48			
332	droideka_siteD	colin_droideka	-		+5.45	Ln-preferring	-	-	-	-	-	-	-			
333	NZ_JADIJP010000010_1_134_iptm0_933_s0	spicylams	0.933		+5.44	Ln-preferring	M20_amidohydrolase	Peptidase_M20	K06016	0	419	GCF_017355285.1_ASM1735528v1_genomic	NZ_JADIJP010000010.1_134			
334	marco_NZ_BSOX01000478_1_25_BliaoNingense	vault_panel	-		+5.43	Ln-preferring	-	-	-	-	-	-	-			
335	marco_bsox_25	vault_panel	-		+5.43	Ln-preferring	-	-	-	-	-	-	-			
336	03_Euk_a0aae0n4q6_domain1chaina-pqq-la_model	unknown	-		+5.40	Ln-preferring	-	-	-	-	-	-	-			
337	NZ_FRXO01000001_1_45_iptm0_975_s0	spicylams	0.975		+5.37	Ln-preferring	other_Creatinase_N	Creatinase_N,Creatinase_N_2,Peptidase_M24,Peptidase_M24_C	K01262	1	608	GCF_900148505.1_IMG-taxon_2585428043_annotated_assembly_genomic	NZ_FRXO01000001.1_45			
338	NZ_BSOX01000478_1_25_iptm0_972_s0	spicylams	0.972		+5.36	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_030160735.1_ASM3016073v1_genomic	NZ_BSOX01000478.1_25			
339	NZ_NWTI01000013_1_163_iptm0_973_s0	spicylams	0.973		+5.36	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_002531575.1_ASM253157v1_genomic	NZ_NWTI01000013.1_163			
340	marco_NZ_AKIY01000241_1_44_BradyrhizSp000282615	vault_panel	-		+5.32	Ln-preferring	-	-	-	-	-	-	-			
341	NZ_JAKSXW010000143_1_234_iptm0_950_s0	spicylams	0.950		+5.32	Ln-preferring	other_AP_endonuc_2	AP_endonuc_2	-	1	289	GCF_022829405.1_ASM2282940v1_genomic	NZ_JAKSXW010000143.1_234			
342	A0A117QAN9_actinobacteriota	colin_extras	-		+5.31	Ln-preferring	-	-	-	-	-	-	-			
343	D3F9M6_conexibacter	unknown	-		+5.31	Ln-preferring	-	-	-	-	-	-	-			
344	03_Euk_a0a836bz88_domain1chaina-pqq-la_model	unknown	-		+5.29	Ln-preferring	-	-	-	-	-	-	-			
345	lanm_fusion_sample_0	vault_panel	-		+5.27	Ln-preferring	-	-	-	-	-	-	-			
346	NZ_CP044543_1_5013_iptm0_973_s0	spicylams	0.973		+5.25	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_008932115.1_ASM893211v1_genomic	NZ_CP044543.1_5013			
347	NZ_JAFCJI010000002_1_216_iptm0_985_s0	spicylams	0.985		+5.25	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_018131105.1_ASM1813110v1_genomic	NZ_JAFCJI010000002.1_216			
348	NZ_VSSS01000011_1_45_iptm0_869_s0	spicylams	0.869		+5.25	Ln-preferring	unannotated	-	-	1	302	GCF_008123425.1_ASM812342v1_genomic	NZ_VSSS01000011.1_45			
349	NZ_JADYVS010000003_1_85_iptm0_975_s0	spicylams	0.975		+5.24	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_020194055.1_ASM2019405v1_genomic	NZ_JADYVS010000003.1_85			
350	NZ_AXAZ01000036_1_49_iptm0_966_s0	spicylams	0.966		+5.19	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_000473065.1_ASM47306v1_genomic	NZ_AXAZ01000036.1_49			
351	V5SHV5_hyphomicrobium	unknown	-		+5.18	Ln-preferring	-	-	-	-	-	-	-			
352	NZ_JACVBB010000003_1_440_iptm0_966_s0	spicylams	0.966		+5.16	Ln-preferring	other_DUF2950	DUF2950	-	1	319	GCF_014852095.1_ASM1485209v1_genomic	NZ_JACVBB010000003.1_440			
353	A0A423URV2_actinobacteriota	colin_extras	-		+5.16	Ln-preferring	-	-	-	-	-	-	-			
354	C1F6W0_acidobacterium	unknown	-		+5.13	Ln-preferring	-	-	-	-	-	-	-			
355	A0A6M4ISD1_gemmatimonadota	colin_extras	-		+5.11	Ln-preferring	-	-	-	-	-	-	-			
356	03_Euk_a0a8t2u0h1_domain1chaina-pqq-la_model	unknown	-		+5.02	Ln-preferring	-	-	-	-	-	-	-			
